Username,Work_Date,Project_Ord_Code,Project_Code,Task_Name,Project_Type,Pay_Code,Hours,Bill_Rate,Cost_Rate,Project_Org_Override,Person_Org_Override,Labor_Category,Location,Comments,Change_Reason,Cost_Structure,Cost_Element,Time_Period_Begin_Date,Post_Date,Additional_Pay_Rate
00002,03/27/2020,AMD   ,PRO1   ,PH1 ,,RT,69.7300,,,,,,,,0.2000 hrs: 000070-001-000200-03/27/2020-0000  SUPERVSR 3/30/2020 11:46:31||-0.2000 hrs: 000070-001-000200-03/27/2020-0001  SUPERVSR 3/30/2020 11:46:32||69.7300 hrs: 000071-000-000300-03/27/2020-0000 GUI Online 3/30/2020 15:47:39,,,,,
00002,03/30/2020,AMD   ,PRO1   ,PH1 ,,RT,0.0000,,,,,,,,0.0200 hrs: 000071-003-000200-03/30/2020-0000 GUI Online 3/30/2020 17:11:14||-0.0200 hrs: 000071-003-000200-03/30/2020-0001  SUPERVSR 3/30/2020 17:41:10||2.0167 hrs: 000071-003-000200-03/30/2020-0002 Contract Modification SUPERVSR 3/30/2020 17:45:26||-2.0167 hrs: 000071-003-000200-03/30/2020-0003  SUPERVSR 3/30/2020 17:45:26||0.0200 hrs: 000071-004-000300-03/30/2020-0000 GUI Online 3/30/2020 18:07:15||-0.0200 hrs: 000071-004-000300-03/30/2020-0001  SUPERVSR 3/30/2020 18:17:51,,,,,
